title,Translated content,size_table
"Lasten Valueweight T-Paita","Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa 
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla-Lycra®-resorikaulus vahvistetulla niskasaumalla
• Koot 92 cm ja 98 cm on tarkastettu metallipaljastimen avulla Euroopan lastenvaatteiden lainsäädännön mukaan
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: 104 - 164 cm 
(Navy, Red, Royal Blue, Sunflower ja White 92 - 164 cm)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>1-2/92cm</td>
<td>31</td>
<td>38</td>
</tr>
<tr>
<td>2-3/98cm</td>
<td>33</td>
<td>41</td>
</tr>
<tr>
<td>3-4/104cm</td>
<td>38</td>
<td>45</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>40,5</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>48,5</td>
<td>65</td>
</tr>
<tr>
<td>14-15/164cm</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Valueweight T-Paita","Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• 3XL-5XL kokojen paidoissa sivusaumat
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey, Navy ja White S - 5XL)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"PitkäHihainen Valueweight T","Suositun Valueweightin pitkähihainen suora malli.

• 100 % puuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey ja White S - 5XL)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Super Premium T-Paita","• 100 % puuvillaa
• Paino: 205 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• Soveltuu myös digipainatukseen
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"PitkäHihainen Iconic 195 Ringspun T","ICONIC 195 on sileäpintainen ja pehmeä pitkähihainen T-paita.

• 100 % rengaskehrättyä kampapuuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 190 g/m², värilliset 195 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: XS - 3XL (Black, Heather Grey ja White XS - 5XL)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>46</td>
<td>67</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Pure Cotton T","Fruit of the Loomin uusi Pure Cotton T on valmistettu 100 % orgaanisesta langasta. Täydellinen ympäristöystävällinen T-paita kaikenlaiseen merkkaukseen.

• 100 % orgaanista rengaskehrättyä kampapuuvillaa
• Valkoinen 175 g/m², värilliset 180g/m²
• Klassinen unisex-malli
• Ribbineulos kauluksessa
• Irrotettava niskalappu
• Vahvistetut olka- ja niskasaumat 
• Pesu 40°C
• Valmistusmaa Marokko
• Tullikoodi 6109100","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>51,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>54</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>57</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>63</td>
<td>79,5</td>
</tr>
<tr>
<td>3XL</td>
<td>76</td>
<td>82</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaa</p>"
"Naisten Valueweight T-Paita","Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: XS - XXL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>41,5</td>
<td>62</td>
</tr>
<tr>
<td>S</td>
<td>44</td>
<td>63</td>
</tr>
<tr>
<td>M</td>
<td>46,5</td>
<td>64</td>
</tr>
<tr>
<td>L</td>
<td>49</td>
<td>65</td>
</tr>
<tr>
<td>XL</td>
<td>51,5</td>
<td>66</td>
</tr>
<tr>
<td>XXL</td>
<td>54</td>
<td>67</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2</td>
<td>1,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Iconic 195 T Ringspun Premium","Iconic 195 Ringspun Premium on sileän pintansa ansiosta yksi painajien suosikkipaidoista. T-paita on miellyttävän pehmeä ja sopii erinomaisesti myös työkäyttöön, sillä sen voi pestä 60 asteessa.

• 100 % rengaskehrättyä kampapuuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 190 g/m², värilliset 195 g/m²
• Pehmeä materiaali
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey, Navy ja White S - 5XL)","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Naisten Iconic 195 T Ringspun Premium","Iconic 195 Ringspun Premium on sileän pintansa ansiosta yksi painajien suosikkipaidoista. T-paita on miellyttävän pehmeä ja sopii erinomaisesti myös työkäyttöön, sillä sen voi pestä 60 asteessa.

• 100 % rengaskehrättyä kampapuuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 190 g/m², värilliset 195 g/m²
• Pehmeä materiaali
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: XS - XXL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>41,5</td>
<td>62</td>
</tr>
<tr>
<td>S</td>
<td>44</td>
<td>63</td>
</tr>
<tr>
<td>M</td>
<td>46,5</td>
<td>64</td>
</tr>
<tr>
<td>L</td>
<td>49</td>
<td>65</td>
</tr>
<tr>
<td>XL</td>
<td>51,5</td>
<td>66</td>
</tr>
<tr>
<td>XXL</td>
<td>54</td>
<td>67</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>1,5</td>
<td>1,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
"Iconic 150 T","T-paita on jo vuosikymmeniä ollut paljon muutakin kuin vain pelkkä aluspaita. T-paidalla näytetään asennetta, sitä minkä joukoissa seisotaan. 

• 100 % rengaskehrättyä kampapuuvillaa
• Dark Heather Grey: 52 % puuvillaa, 48 % polyesteriä
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 145 g/m², värilliset 150 g/m²
• Pehmeä kangas
• Hieman muotoiltu malli
• Irrotettava tuotelappu niskassa
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL 
Deep Navy ja Red S - 4XL
Black, Heather Grey ja White S - 5XL","<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>46</td>
<td>68</td>
</tr>
<tr>
<td>M</td>
<td>48,5</td>
<td>70,5</td>
</tr>
<tr>
<td>L</td>
<td>53,5</td>
<td>73</td>
</tr>
<tr>
<td>XL</td>
<td>59</td>
<td>75,5</td>
</tr>
<tr>
<td>XXL</td>
<td>64</td>
<td>78</td>
</tr>
<tr>
<td>3XL</td>
<td>68,5</td>
<td>80,5</td>
</tr>
<tr>
<td>4XL</td>
<td>73</td>
<td>83</td>
</tr>
<tr>
<td>5XL</td>
<td>77,5</td>
<td>85,5</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>"
