Type;Identification;Field;Locale;Market;Status;Default content;Translated content
PRODUCT;'10330;title;fi;;;LASTEN VALUEWEIGHT T-PAITA;Lasten Valueweight T-Paita
PRODUCT;'10330;body_html;fi;;;"Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa 
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla-Lycra®-resorikaulus vahvistetulla niskasaumalla
• Koot 92 cm ja 98 cm on tarkastettu metallipaljastimen avulla Euroopan lastenvaatteiden lainsäädännön mukaan
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: 104 - 164 cm 
(Navy, Red, Royal Blue, Sunflower ja White 92 - 164 cm)";"Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa 
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla-Lycra®-resorikaulus vahvistetulla niskasaumalla
• Koot 92 cm ja 98 cm on tarkastettu metallipaljastimen avulla Euroopan lastenvaatteiden lainsäädännön mukaan
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: 104 - 164 cm 
(Navy, Red, Royal Blue, Sunflower ja White 92 - 164 cm)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>1-2/92cm</td>
<td>31</td>
<td>38</td>
</tr>
<tr>
<td>2-3/98cm</td>
<td>33</td>
<td>41</td>
</tr>
<tr>
<td>3-4/104cm</td>
<td>38</td>
<td>45</td>
</tr>
<tr>
<td>5-6/116cm</td>
<td>40,5</td>
<td>50</td>
</tr>
<tr>
<td>7-8/128cm</td>
<td>43</td>
<td>55</td>
</tr>
<tr>
<td>9-11/140cm</td>
<td>46</td>
<td>60</td>
</tr>
<tr>
<td>12-13/152cm</td>
<td>48,5</td>
<td>65</td>
</tr>
<tr>
<td>14-15/164cm</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'10360;title;fi;;;VALUEWEIGHT T-PAITA;Valueweight T-Paita
PRODUCT;'10360;body_html;fi;;;"Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• 3XL-5XL kokojen paidoissa sivusaumat
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey, Navy ja White S - 5XL)";"Euroopan myydyin puuvillainen T-paita tarjoaa parhaan hinta-laatusuhteen. Valueweight on erityisesti painajien suosikki.

• 100 % puuvillaa
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• 3XL-5XL kokojen paidoissa sivusaumat
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey, Navy ja White S - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'10380;title;fi;;;PITKÄHIHAINEN VALUEWEIGHT T;PitkäHihainen Valueweight T
PRODUCT;'10380;body_html;fi;;;"Suositun Valueweightin pitkähihainen suora malli.

• 100 % puuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey ja White S - 5XL)";"Suositun Valueweightin pitkähihainen suora malli.

• 100 % puuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Dark Heather Grey: 50 % puuvillaa, 50 % polyesteriä
• Paino: White 160 g/m², värilliset 165 g/m²
• Puuvilla/Lycra®-kaulus vahvistetulla niskasaumalla
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL (Black, Heather Grey ja White S - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'10440;title;fi;;;SUPER PREMIUM T-PAITA;Super Premium T-Paita
PRODUCT;'10440;body_html;fi;;;"• 100 % puuvillaa
• Paino: 205 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• Soveltuu myös digipainatukseen
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL";"• 100 % puuvillaa
• Paino: 205 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Tiheä neulos takaa onnistuneen painojäljen
• Kaksoistikkaukset kauluksessa, hihoissa ja helmassa
• Soveltuu myös digipainatukseen
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: S - 3XL

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'13600;title;fi;;;PITKÄHIHAINEN ICONIC 195 RINGSPUN T;PitkäHihainen Iconic 195 Ringspun T
PRODUCT;'13600;body_html;fi;;;"ICONIC 195 on sileäpintainen ja pehmeä pitkähihainen T-paita.

• 100 % rengaskehrättyä kampapuuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 190 g/m², värilliset 195 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: XS - 3XL (Black, Heather Grey ja White XS - 5XL)";"ICONIC 195 on sileäpintainen ja pehmeä pitkähihainen T-paita.

• 100 % rengaskehrättyä kampapuuvillaa
• Heather Grey: 97 % puuvillaa, 3 % polyesteriä
• Paino: White 190 g/m², värilliset 195 g/m²
• Puuvilla/Lycra®-kaula-aukko olkapäältä olkapäälle vahvistetulla saumalla
• Pesu 60°C
• Valmistusmaa Marokko
• Tullikoodi 61091000

Koot: XS - 3XL (Black, Heather Grey ja White XS - 5XL)

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>XS</td>
<td>46</td>
<td>67</td>
</tr>
<tr>
<td>S</td>
<td>48,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>53,5</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>56</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>61</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>66</td>
<td>78,5</td>
</tr>
<tr>
<td>3XL</td>
<td>71</td>
<td>80</td>
</tr>
<tr>
<td>4XL</td>
<td>76</td>
<td>81,5</td>
</tr>
<tr>
<td>5XL</td>
<td>81</td>
<td>83</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 1 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p>
</div>
</div>"
PRODUCT;'13620;title;fi;;;PURE COTTON T;Pure Cotton T
PRODUCT;'13620;body_html;fi;;;"Fruit of the Loomin uusi Pure Cotton T on valmistettu 100 % orgaanisesta langasta. Täydellinen ympäristöystävällinen T-paita kaikenlaiseen merkkaukseen.

• 100 % orgaanista rengaskehrättyä kampapuuvillaa
• Valkoinen 175 g/m², värilliset 180g/m²
• Klassinen unisex-malli
• Ribbineulos kauluksessa
• Irrotettava niskalappu
• Vahvistetut olka- ja niskasaumat 
• Pesu 40°C
• Valmistusmaa Marokko
• Tullikoodi 6109100";"Fruit of the Loomin uusi Pure Cotton T on valmistettu 100 % orgaanisesta langasta. Täydellinen ympäristöystävällinen T-paita kaikenlaiseen merkkaukseen.

• 100 % orgaanista rengaskehrättyä kampapuuvillaa
• Valkoinen 175 g/m², värilliset 180g/m²
• Klassinen unisex-malli
• Ribbineulos kauluksessa
• Irrotettava niskalappu
• Vahvistetut olka- ja niskasaumat 
• Pesu 40°C
• Valmistusmaa Marokko
• Tullikoodi 6109100

<div class="size-table">
<h3 style="background-color: #666; color: white; padding: 10px; margin: 0; border-radius: 5px 5px 0 0;">Kokotaulukko</h3>
<div style="background: linear-gradient(to bottom, #f8f8f8 0%, #f8f8f8 50%, white 50%, white 100%);">
<table>
<tr>
<td>Koko</td>
<td>Leveys cm*</td>
<td>Pituus cm**</td>
</tr>
<tr>
<td>S</td>
<td>51,5</td>
<td>69,5</td>
</tr>
<tr>
<td>M</td>
<td>54</td>
<td>72</td>
</tr>
<tr>
<td>L</td>
<td>57</td>
<td>74,5</td>
</tr>
<tr>
<td>XL</td>
<td>60</td>
<td>77</td>
</tr>
<tr>
<td>XXL</td>
<td>63</td>
<td>79,5</td>
</tr>
<tr>
<td>3XL</td>
<td>76</td>
<td>82</td>
</tr>
<tr>
<td>Tol+/-</td>
<td>2,5</td>
<td>2,5</td>
</tr>
</table>
<p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p>
<p>** Olkapään korkeimmasta kohdasta tuotteen alareunaa</p>
</div>
</div>"
PRODUCT;'13720;title;fi;;;NAISTEN VALUEWEIGHT T-PAITA;Naisten Valueweight T-Paita
